wave,post_url,post_owner,commenter,likes,text
w3,https://www.instagram.com/p/Db4xD3aRCnW/,theclosetbyconnor_,carolynarians,1,😂 crack shack😂  most of these items are just nuts
w3,https://www.instagram.com/p/Dcp09LDRnUu/,theclosetbyconnor_,thelastmaharaja,2,This is my moment to collect all my Karl and Sylvia era pieces 🙂‍↕️
w3,https://www.instagram.com/p/Dcp09LDRnUu/,theclosetbyconnor_,alessandromuso11,2,Your opinion with that haircut is irrelevant. 😂😂😂🤮
w3,https://www.instagram.com/p/Dcp09LDRnUu/,theclosetbyconnor_,kokeshidol,12,The fact that vintage bags are now selling for £10k plus just goes to show that people want the fun fendi not the boring black fendi.  However I do love the khaki tote/baguette but its made me search for the vintage camo baguette instead.
w3,https://www.instagram.com/p/Dcp09LDRnUu/,theclosetbyconnor_,sherry__alaa,21,The new baguette is so over priced! I feel they are intentionally pricing all of us out
w3,https://www.instagram.com/p/Dcp09LDRnUu/,theclosetbyconnor_,alexbattx,2,We want more plexiglass
w3,https://www.instagram.com/p/Dcp09LDRnUu/,theclosetbyconnor_,jerushacouture,18,Fucked Fuckery I’m dead
w3,https://www.instagram.com/p/Dcp09LDRnUu/,theclosetbyconnor_,adon___n,1,I looked up the men’s bag section last night. And I was so disappointed. No more peekaboos no more fun baguettes. Just horrendous looking crap. 💩
w3,https://www.instagram.com/p/Dcp09LDRnUu/,theclosetbyconnor_,milicadje,4,They started designing for army and corporates 😂
w3,https://www.instagram.com/p/Dcp09LDRnUu/,theclosetbyconnor_,lia_tessi,2,😂😂😂😂😂😂😂
w3,https://www.instagram.com/p/Dcp09LDRnUu/,theclosetbyconnor_,alecia.dxb,2,"Can we check on Fendi, are they OK? 😭😭😭"
w3,https://www.instagram.com/p/Dcp09LDRnUu/,theclosetbyconnor_,alishae_daniyal,106,The Maria Grazia Chiuri curse strikes again…
w3,https://www.instagram.com/p/Dcp09LDRnUu/,theclosetbyconnor_,iamjacquelinerose,2,😍😍😂😂
w3,https://www.instagram.com/p/Dcp09LDRnUu/,theclosetbyconnor_,undonebydayle,6,Fendi has been become the dream child of Lexi Featherston from SATC SPLAT
w3,https://www.instagram.com/p/Dcp09LDRnUu/,theclosetbyconnor_,liahaviters,1,👏
w3,https://www.instagram.com/p/Dcp09LDRnUu/,theclosetbyconnor_,woman_make_up,3,Exactly! I finally have some money to buy baguette and I sent to fendi and did not buy anything…sad
w3,https://www.instagram.com/p/DcV3Je9Kxs8/,tnt_safo,bigexponent,1,"Salute. I put on for the BRAWN as well…Its good to see some shine, we keep it funky too 🦾"
w3,https://www.instagram.com/p/DcV3Je9Kxs8/,tnt_safo,rabbirecc,1,Who’s the guy in the Clark’s? Top right corner. Buddy clean ahh hell!
w3,https://www.instagram.com/p/DcV3Je9Kxs8/,tnt_safo,mrfoleycoals,0,THANKKKKKKKKKK YOOOUUUUUU THIS REALLY IS NEEDED!!!!
w3,https://www.instagram.com/p/DcV3Je9Kxs8/,tnt_safo,richie_clervil_,0,Check out my pictures on my profile 🫡😏
w3,https://www.instagram.com/p/DcV3Je9Kxs8/,tnt_safo,micheal_rice,0,🔥🔥🔥dope
w3,https://www.instagram.com/p/DcV3Je9Kxs8/,tnt_safo,dremccalla,1,👏👏👏👏
w3,https://www.instagram.com/p/DcV3Je9Kxs8/,tnt_safo,hype.kills,0,💎💎💎
w3,https://www.instagram.com/p/DcV3Je9Kxs8/,tnt_safo,jshvllgs,1,@brotherwiththebeard nice fits my brother! 🙌🏻
w3,https://www.instagram.com/p/DcV3Je9Kxs8/,tnt_safo,jshvllgs,1,Sir @jamal.rosyne is my hero 🙌🏻
w3,https://www.instagram.com/p/DcV3Je9Kxs8/,tnt_safo,paytonbaileyjr,0,I’m hip!! 🙏🏾👊🏾
w3,https://www.instagram.com/p/DcV3Je9Kxs8/,tnt_safo,squirrel.86413917,1,That dude is the GOAT
w3,https://www.instagram.com/p/DcV3Je9Kxs8/,tnt_safo,tymwallacehair,8,You gotta check out @icontips @albertmorrisonhair @therealwourivice and myself we don't play fair at all
w3,https://www.instagram.com/p/DcV3Je9Kxs8/,tnt_safo,tymwallacehair,2,Let's gooo....
w3,https://www.instagram.com/p/DcV3Je9Kxs8/,tnt_safo,say_less_do_mor3,0,There’s nothing fly here.
w3,https://www.instagram.com/p/DcV3Je9Kxs8/,tnt_safo,chud_fits,1,Now following him🙌
w3,https://www.instagram.com/p/Db4xD3aRCnW/,theclosetbyconnor_,katidesola,0,"If it was 2016 prices , I'd be all over it."
w3,https://www.instagram.com/p/Db4xD3aRCnW/,theclosetbyconnor_,luxurylover.blue,3,Who is buying these! 😂
w3,https://www.instagram.com/p/Db4xD3aRCnW/,theclosetbyconnor_,eileenmr1234,1,Perfect Big C perfect 🤣
w3,https://www.instagram.com/p/Db4xD3aRCnW/,theclosetbyconnor_,zorro_or_what,3,The Thom Browne doggie bag and the Loewe bunny are so much better… I‘d say: stick to trunks and make them fabulous 🤷‍♀️
w3,https://www.instagram.com/p/Db4xD3aRCnW/,theclosetbyconnor_,ernestiiine_,1,😂😂😂
w3,https://www.instagram.com/p/Db4xD3aRCnW/,theclosetbyconnor_,baggirl1968,3,Omg your comments about the sausage dog lol.😂 I’m crying
w3,https://www.instagram.com/p/Db4xD3aRCnW/,theclosetbyconnor_,genelllenugent,1,Very funny Connor! Xxx
w3,https://www.instagram.com/p/Db4xD3aRCnW/,theclosetbyconnor_,marisas1968,5,"Yes, because everyone has just been asking for a telephone bag 🙄🙄🤣🤣"
w3,https://www.instagram.com/p/Db4xD3aRCnW/,theclosetbyconnor_,bradley_w_johnson,1,There hiddus 😂
w3,https://www.instagram.com/p/Db4xD3aRCnW/,theclosetbyconnor_,adeleelzinga,2,😂😂😂😂😂
w3,https://www.instagram.com/p/Db4xD3aRCnW/,theclosetbyconnor_,dr.dustbags,3,😂😂😂 so true because it’s kinda cute but it’s really not a dachshund at all
w3,https://www.instagram.com/p/Db4xD3aRCnW/,theclosetbyconnor_,cocoribbon,2,🤣🤣🤣 Oh wow…these are terrible 😅 I thought the LV Camel Transsiberian bag I sold back in the day was a hard sell 😆😂
w3,https://www.instagram.com/p/Db4xD3aRCnW/,theclosetbyconnor_,undonebydayle,9,Flacid dawg 😂😂😂
w3,https://www.instagram.com/p/Db4xD3aRCnW/,theclosetbyconnor_,hungryforhighend,4,Hahahaha yep that sausage dog is giving year four pencil case vibes! Who wants to borrow my crayons?!
w3,https://www.instagram.com/p/Db4xD3aRCnW/,theclosetbyconnor_,miss_nadia_loves,1,WTF?? 🙈🫣
w3,https://www.instagram.com/p/Dcp09LDRnUu/,theclosetbyconnor_,passionofvenus22,4,Fendi just know something… it’s looks kinda.. military…
w3,https://www.instagram.com/p/Dcp09LDRnUu/,theclosetbyconnor_,wild_child2025,2,Never mind Fendi baguette revival from Milano Design Week 2026. Fashionistas on Ozempic and these sad Fendi prêt à porter models need a sandwich. 🥖🥪
w3,https://www.instagram.com/p/Dcp09LDRnUu/,theclosetbyconnor_,lordsjs,2,I love your run through of the latest from the designers. Fucked fuckery had me laughing so hard 😂 Fendi is one of my favourites but I do agree I want the fun back ❤️
w3,https://www.instagram.com/p/Dcp09LDRnUu/,theclosetbyconnor_,hillarysfashioncloset,7,Like MGC needs to add color and fun soon. I love the brand for being fun and colorful.
w3,https://www.instagram.com/p/Dcp09LDRnUu/,theclosetbyconnor_,brysonsutton2021,2,connor we love you
w3,https://www.instagram.com/p/Dcp09LDRnUu/,theclosetbyconnor_,ms_mmwah,2,I like SOME of the things... but not enough to spend any money... also im distracted by how perfect your eyebrows are😍
w3,https://www.instagram.com/p/Dcp09LDRnUu/,theclosetbyconnor_,flavourjello,4,
w3,https://www.instagram.com/p/Dcp09LDRnUu/,theclosetbyconnor_,k01981,3,😂😂😂😂😂
w3,https://www.instagram.com/p/Dcp09LDRnUu/,theclosetbyconnor_,cormac_irl,2,Fucked fuckery got me 😂
w3,https://www.instagram.com/p/Dcp09LDRnUu/,theclosetbyconnor_,dvrkmvgic,2,How do u solve a problem like Maria 🙅🏻‍♂️
w3,https://www.instagram.com/p/Dcp09LDRnUu/,theclosetbyconnor_,fashindivirkin,2,😂😂😂
w3,https://www.instagram.com/p/Dcp09LDRnUu/,theclosetbyconnor_,frankkorellana,3,Got me laughing so hard at the lesbian comment 😂😂 agree with you
w3,https://www.instagram.com/p/Dcp09LDRnUu/,theclosetbyconnor_,flobu__,4,She should Go back to Save Dior😥
w3,https://www.instagram.com/p/Dcp09LDRnUu/,theclosetbyconnor_,fragabellissima,2,YES YES YES 🙌❤️
w3,https://www.instagram.com/p/DamZiG6xIri/,theclosetbyconnor_,e63or,1,i wana see the Firefly pieces aka glow in the dark
w3,https://www.instagram.com/p/DamZiG6xIri/,theclosetbyconnor_,mgt89,1,Yeahhh narrrr
w3,https://www.instagram.com/p/DamZiG6xIri/,theclosetbyconnor_,tim.clarkson,23,"Ever since Williams became artistic director, they have not produced anything slightly unique or luxurious. I use to like their bags, however im finding 90% of their mens bags are too feminine and so bloody small."
w3,https://www.instagram.com/p/DamZiG6xIri/,theclosetbyconnor_,lorenzoagustin,3,It amuses me that the bag detail photos on the LV site that had water droplets on the nylon canvas… The vachetta leather trims had NO water droplets on it. 🤔🤔🤔
w3,https://www.instagram.com/p/DamZiG6xIri/,theclosetbyconnor_,wmejia39,2,😂
w3,https://www.instagram.com/p/DamZiG6xIri/,theclosetbyconnor_,paolodc_,1,Agreee
w3,https://www.instagram.com/p/DamZiG6xIri/,theclosetbyconnor_,the_k_shannon,1,Plastic
w3,https://www.instagram.com/p/DamZiG6xIri/,theclosetbyconnor_,aonconcept,1,❤️
w3,https://www.instagram.com/p/DamZiG6xIri/,theclosetbyconnor_,runningzombie_,2,Might last a while. I have a canvas Jeune fille - she is 35 years young and still gorgeous and the canvas looks absolutely stunning. I had someone complement and ask if LV came out with a new bag shape
w3,https://www.instagram.com/p/DamZiG6xIri/,theclosetbyconnor_,luxurylover.blue,1,Not a fan of Nylon for thousands!💸
w3,https://www.instagram.com/p/DamZiG6xIri/,theclosetbyconnor_,lvxldrip,1,That’s funny
w3,https://www.instagram.com/p/DamZiG6xIri/,theclosetbyconnor_,gabriellechoo,5,The Emperor’s new Clothing there’s nothing exclusive about LV
w3,https://www.instagram.com/p/DamZiG6xIri/,theclosetbyconnor_,mum_onthe_swag,1,"so technically just recycled, they just wanted to sound bougie🙄😒🤨"
w3,https://www.instagram.com/p/DamZiG6xIri/,theclosetbyconnor_,silveraccordlx,25,I don’t mind the fabrication but it’s the price that’s the problem
w3,https://www.instagram.com/p/Db4xD3aRCnW/,theclosetbyconnor_,mie_max001,2,😂😂😂 crack shack!!! Bloody brilliant….
w3,https://www.instagram.com/p/Db4xD3aRCnW/,theclosetbyconnor_,poisonedapple77,1,Connor you have become so sassy in your older age
w3,https://www.instagram.com/p/Db4xD3aRCnW/,theclosetbyconnor_,kirstenlovestravel,2,😂😂😂 Flaccid. ☠️
w3,https://www.instagram.com/p/Db4xD3aRCnW/,theclosetbyconnor_,itsadmode,1,🤣🤣🤣
w3,https://www.instagram.com/p/Db4xD3aRCnW/,theclosetbyconnor_,hrh_nurseady,2,"Connor, pls DM me the 🌭 youve seen in your time…. so curious!🤪🤪🤪"
w3,https://www.instagram.com/p/Db4xD3aRCnW/,theclosetbyconnor_,justme_lmv,2,Soooo accurate
w3,https://www.instagram.com/p/Db4xD3aRCnW/,theclosetbyconnor_,gretsfullido,2,😂😂😂😂
w3,https://www.instagram.com/p/Db4xD3aRCnW/,theclosetbyconnor_,mrbig_mookey,1,DIABOLICAL
w3,https://www.instagram.com/p/Db4xD3aRCnW/,theclosetbyconnor_,dariushmehd,0,"Hahaha agree, the lobster bag is everything tho 😭"
w3,https://www.instagram.com/p/Db4xD3aRCnW/,theclosetbyconnor_,mellissabluxury,1,😂😂😂😂😂😂
w3,https://www.instagram.com/p/Db4xD3aRCnW/,theclosetbyconnor_,therealdbo,1,The bassotto 🥹
w3,https://www.instagram.com/p/Db4xD3aRCnW/,theclosetbyconnor_,my_lvcollection,1,We could do better than that 🫩
w3,https://www.instagram.com/p/Db4xD3aRCnW/,theclosetbyconnor_,bm_j_xo,6,The Pound Puppy Purse 😂
w3,https://www.instagram.com/p/Db4xD3aRCnW/,theclosetbyconnor_,pauljames_graham,7,Why is that pooch wearing only one set of lashes? 🤔
